央视,#genre#
CCTV5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?

CCTV5+,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8

4K付费央视,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?



央视世界,#genre#
CCTV美洲,http://dl.zhoujie218.top/dl/gdtv2.php?migu/608807416
CCTV俄语,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609006446
CCTV法语http://dl.zhoujie218.top/dl/gdtv2.php?migu/609006476
CCTV阿拉伯,http://dl.zhoujie218.top/dl/gdtv2.php?migu/609154345


CCTV台球,http://111.20.40.170/TVOD/88888893/224/3221226956/index.m3u8
CCTV世界地理，http://111.20.40.170/TVOD/88888893/224/3221226947/index.m3u8


卫视,#genre#
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8？
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8？
北京卫视,http://111.20.35.103:6610/yinhe/2/ch00000090990000001025/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=

天津卫视,http://223.241.247.214:85//tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8?
天津卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225765/1.m3u8


黑龙江卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020281749ed995f2824759051fa.m3u8?bitrate=2300&pt=5
黑龙江卫视,http://61.148.223.18:8888/newlive/live/hls/42/live.m3u8
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
黑龙江卫视,http://223.241.247.214:85//tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0


吉林卫视,http://183.196.25.171:808/hls/47/index.m3u8
吉林卫视,http://61.148.223.18:8888/newlive/live/hls/35/live.m3u8
吉林卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000205c15461b956f19f9b6896ad6.m3u8?bitrate=2300&pt=5


辽宁卫视,http://222.175.159.226:808/hls/202348/index.m3u8
辽宁卫视,http://221.213.43.82:8888/newlive/live/hls/43/live.m3u8


内蒙古卫视,http://222.175.159.226:808/hls/202366/index.m3u8
内蒙古卫视,http://222.71.90.218:8888/newlive/live/hls/46/live.m3u8
内蒙古卫视,http://223.151.51.27:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0



新疆卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8
新疆卫视,http://111.20.35.103:6610/yinhe/2/ch00000090990000001047/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
新疆卫视,http://cyz32.livehbindex.hbcatv.cn/live/500000201e484cbeb064a31201e3dd05.m3u8?bitrate=2300&pt=5


西藏卫视,http://111.20.40.160/PLTV/88888893/224/3221226212/index.m3u8

宁夏卫视,http://111.20.35.103:6610/yinhe/2/ch00000090990000001061/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
宁夏卫视,http://61.148.223.18:8888/newlive/live/hls/40/live.m3u8
宁夏卫视,http://222.175.159.226:808/hls/202367/index.m3u8
 

青海卫视,http://stream.qhbtv.com/qhws/playlist.m3u8?_upt=de012f081675055596
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=93784d371551169733
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=09d3dc5a1682244238
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484"
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=2dee6a651676210262


甘肃卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
甘肃卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225754/1.m3u8
甘肃卫视,http://61.148.223.18:8888/newlive/live/hls/36/live.m3u8





陕西卫视,http://111.20.40.164/PLTV/88888893/224/3221226458/index.m3u8
陕西卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226458/index.m3u8?
陕西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8
陕西卫视,http://222.71.90.218:8888/newlive/live/hls/45/live.m3u8
陕西卫视,http://223.151.51.27:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0


西藏卫视,http://111.20.40.175:80/PLTV/88888893/224/3221226212/index.m3u8
西藏卫视,http://111.20.40.160/PLTV/88888893/224/3221226212/index.m3u8

四川卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
四川卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225768/index.m3u8
四川卫视,http://1.85.0.62:808/hls/41/index.m3u8


重庆卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8?
重庆卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225791/index.m3u8
重庆卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8


贵州卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8?
贵州卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8?
贵州卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225793/index.m3u8



云南卫视,https://cntv.sbs/tv?auth=230813&id=ynws



